,1. open,2. high,3. low,4. close,5. volume
2020-06-12,0.19,0.19,0.16,0.19,8299.0
2020-06-05,0.19,0.27,0.19,0.19,11508.0
2020-05-29,0.27,0.27,0.19,0.19,3045.0
2020-05-22,0.28,0.28,0.22,0.27,33071.0
2020-05-15,0.21,0.27,0.17,0.24,21670.0
2020-05-08,0.19,0.24,0.17,0.19,20175.0
2020-05-01,0.21,0.2652,0.2,0.24,23477.0
2020-04-24,0.2,0.2,0.15,0.195,34114.0
2020-04-17,0.2,0.2,0.2,0.2,24.0
2020-04-09,0.18,0.2,0.18,0.2,7200.0
2020-04-03,0.19,0.2,0.15,0.18,14325.0
2020-03-27,0.15,0.1901,0.15,0.19,20425.0
2020-03-20,0.18,0.18,0.15,0.17,49135.0
2020-03-13,0.29,0.29,0.051,0.18,107675.0
2020-03-06,0.16,0.3499,0.16,0.29,5350.0
2020-02-28,0.22,0.3549,0.1601,0.1631,37188.0
2020-02-21,0.16,0.25,0.16,0.22,9220.0
2020-02-14,0.27,0.28,0.1591,0.1591,10670.0
2020-02-07,0.28,0.28,0.2075,0.27,28314.0
2020-01-31,0.25,0.33,0.25,0.25,14280.0
2020-01-24,0.27,0.29,0.2201,0.221,35110.0
2020-01-17,0.23,0.337,0.222,0.27,19390.0
2020-01-10,0.2928,0.2928,0.2492,0.28,24404.0
2020-01-03,0.48,0.48,0.2854,0.29,28788.0
2019-12-27,0.28,0.35,0.24,0.35,54287.0
2019-12-20,0.28,0.35,0.276,0.28,16120.0
2019-12-13,0.25,0.28,0.25,0.28,21376.0
2019-12-06,0.31,0.4,0.2801,0.2802,32724.0
2019-11-29,0.35,0.5,0.35,0.5,3501.0
2019-11-22,0.3,0.41,0.3,0.35,40050.0
2019-11-15,0.35,0.35,0.3016,0.3016,4900.0
2019-11-08,0.34,0.41,0.3105,0.3522,24310.0
2019-11-01,0.36,0.36,0.2919,0.3005,20760.0
2019-10-25,0.41,0.41,0.3001,0.36,19215.0
2019-10-18,0.39,0.44,0.3101,0.36,12604.0
2019-10-11,0.45,0.48,0.3478,0.3501,26789.0
2019-10-04,0.35,0.51,0.35,0.4,20697.0
2019-09-27,0.45,0.53,0.329,0.43,25383.0
2019-09-20,0.555,0.6,0.35,0.45,8362.0
2019-09-13,0.516,0.61,0.367,0.58,18692.0
2019-09-06,0.75,0.8,0.5131,0.521,17525.0
2019-08-30,0.455,0.8,0.41,0.7,32641.0
2019-08-23,0.44,0.62,0.44,0.6,9950.0
2019-08-15,0.3735,0.58,0.33,0.42,59101.0
2019-08-09,0.48,0.48,0.3321,0.37,16603.0
2019-08-02,0.475,0.48,0.475,0.48,5200.0
2019-07-26,0.259,0.51,0.259,0.51,701.0
2019-07-19,0.3,0.52,0.3,0.51,555.0
2019-07-12,0.52,0.52,0.3,0.3,11915.0
2019-07-05,0.41,0.52,0.3501,0.52,3700.0
2019-06-28,0.65,0.65,0.36,0.39,8338.0
2019-06-21,0.55,0.65,0.5,0.5,12900.0
2019-06-14,0.56,0.828,0.55,0.55,20585.0
2019-06-07,0.85,0.85,0.56,0.82,14936.0
2019-05-31,0.55,0.919,0.45,0.85,28710.0
2019-05-24,0.6,0.85,0.451,0.475,29922.0
2019-05-17,0.95,0.95,0.65,0.65,28364.0
2019-05-10,1.2,1.34,0.88,0.95,12023.0
