,1. open,2. high,3. low,4. close,5. volume
2018-11-02,0.393,0.47,0.38,0.4536,9907637.0
2018-10-26,0.46,0.46,0.38,0.39,7108512.0
2018-10-19,0.82,0.88,0.42,0.446,5828162.0
2018-10-12,1.02,1.06,0.7901,0.86,838210.0
2018-10-05,0.98,1.18,0.963,0.995,1768809.0
2018-09-28,0.98,1.13,0.97,0.98,1043145.0
2018-09-21,1.04,1.06,0.95,0.99,449734.0
2018-09-14,1.0,1.22,0.96,1.01,1775141.0
2018-09-07,1.15,1.1635,0.95,1.0,1703591.0
2018-08-31,0.88,1.78,0.86,1.16,16101606.0
2018-08-24,0.87,0.96,0.851,0.9,528482.0
2018-08-17,1.35,1.35,0.786,0.9193,1066318.0
2018-08-10,1.29,1.4756,1.2842,1.3498,777520.0
2018-08-03,1.42,1.42,1.21,1.295,502021.0
2018-07-27,1.55,2.18,1.33,1.35,15667267.0
2018-07-20,1.63,1.75,1.4,1.56,2716965.0
2018-07-13,1.27,3.75,1.151,1.58,43909667.0
2018-07-06,1.14,1.3281,1.1,1.269,522836.0
2018-06-29,1.226,1.23,1.03,1.14,327175.0
2018-06-22,1.22,1.35,1.1869,1.2307,601762.0
2018-06-15,1.26,1.29,1.12,1.23,672138.0
2018-06-08,1.46,1.46,1.19,1.27,1381598.0
2018-06-01,1.46,1.55,1.32,1.43,265100.0
2018-05-25,1.47,1.95,1.3,1.39,1396821.0
2018-05-18,1.6399,1.6399,1.25,1.43,258612.0
2018-05-11,1.71,1.7704,1.4512,1.59,447520.0
2018-05-04,1.661,3.5,1.64,1.65,2710536.0
2018-04-27,1.8652,1.8652,1.551,1.6351,163528.0
2018-04-20,1.8943,1.919,1.76,1.8696,39751.0
2018-04-13,2.002,2.09,1.89,1.909,24435.0
2018-04-06,2.0899,2.1857,2.025,2.1,7662.0
2018-03-29,2.2828,2.2828,2.05,2.06,17382.0
2018-03-23,2.24,2.24,2.12,2.23,13752.0
2018-03-16,2.1574,2.3,2.15,2.21,48334.0
2018-03-09,1.91,2.289,1.9,2.1583,201122.0
2018-03-02,1.95,1.95,1.81,1.91,44893.0
2018-02-23,1.99,2.14,1.8703,1.93,74556.0
2018-02-16,2.15,2.49,1.95,1.9879,206889.0
2018-02-09,2.221,2.38,2.1149,2.151,56529.0
2018-02-02,2.44,2.47,2.25,2.2613,120090.0
2018-01-26,2.55,2.5604,2.39,2.41,75913.0
2018-01-19,2.52,2.625,2.49,2.549,89468.0
2018-01-12,2.4,2.831,2.3873,2.5672,702873.0
2018-01-05,2.42,2.8879,2.4018,2.46,486557.0
2017-12-29,2.54,2.58,2.37,2.428,203901.0
2017-12-22,2.28,4.45,2.28,2.5014,3267847.0
2017-12-15,2.3,2.49,2.2044,2.3226,87997.0
2017-12-08,2.6141,2.6141,2.2,2.25,51825.0
2017-12-01,2.7,2.85,2.44,2.5982,91248.0
2017-11-24,2.6531,2.7258,2.5,2.66,94486.0
2017-11-17,2.4601,2.8652,2.4601,2.65,72344.0
2017-11-10,2.79,2.87,2.45,2.58,213197.0
2017-11-03,2.5281,2.9,2.11,2.72,200596.0
2017-10-27,2.78,2.955,2.46,2.63,78004.0
2017-10-20,3.07,3.09,2.7101,2.82,102896.0
2017-10-13,2.735,3.1637,2.52,2.9768,212417.0
2017-10-06,2.82,2.96,2.6,2.65,45675.0
2017-09-29,2.8273,2.91,2.582,2.87,67887.0
2017-09-22,2.68,2.85,2.61,2.85,26696.0
2017-09-15,2.736,2.98,2.625,2.67,90047.0
2017-09-08,2.62,2.79,2.466,2.77,47816.0
