SlowK,SlowD,RSI,MACD_Signal,MACD,MACD_Hist,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
50.0302,31.5006,45.4378,-0.9128,-1.1285,-0.2157,24.7199,10.2308,80.0,10.0,23.87,25.44,23.75,24.12,509383.0,-1
31.5413,18.4142,43.314,-0.8589,-1.1866,-0.3278,24.8056,-42.161,90.0,20.0,22.85,24.26,22.795,23.7,676553.0,1
12.9302,14.9263,38.8786,-0.7769,-1.2008,-0.4239,24.9635,-94.9057,100.0,30.0,22.25,22.95,21.69,22.83,401568.0,1
10.7709,20.8821,35.3739,-0.6709,-1.1128,-0.4419,25.2683,-123.1276,100.0,40.0,22.31,22.72,21.81,22.16,379942.0,1
21.0777,25.9553,36.1821,-0.5605,-0.9162,-0.3557,25.7123,-121.5042,100.0,50.0,23.55,23.85,22.45,22.45,469514.0,-1
30.7977,33.2549,41.3413,-0.4715,-0.6813,-0.2098,26.1784,-103.5749,70.0,0.0,23.19,25.29,23.0968,24.21,790157.0,-1
25.9905,41.7173,44.9107,-0.4191,-0.5509,-0.1318,26.4596,-90.5549,80.0,10.0,24.58,25.56,24.54,25.3,1137278.0,-1
42.9767,54.0483,42.0172,-0.3862,-0.4873,-0.1012,26.6253,-172.146,90.0,0.0,23.21,24.95,23.0306,24.6,835503.0,1
56.1847,50.826,36.437,-0.3609,-0.3279,0.033,26.9146,-199.0497,100.0,10.0,28.82,28.98,22.76,23.3,1807463.0,-1
62.9834,40.2818,57.3914,-0.3691,0.0128,0.3819,27.4309,16.7682,80.0,20.0,27.77,29.07,27.21,28.78,598294.0,-1
33.3099,26.7017,53.4811,-0.4646,-0.1106,0.354,27.2382,-43.327,0.0,30.0,27.23,28.21,26.945,27.89,348512.0,1
24.5522,26.2006,49.0868,-0.5531,-0.1758,0.3773,27.1451,-117.3085,0.0,40.0,26.18,27.51,25.77,26.96,314755.0,1
22.2431,31.2368,45.8705,-0.6474,-0.1618,0.4856,27.1716,-65.6545,0.0,50.0,28.45,28.8521,26.23,26.31,558027.0,-1
31.8064,42.6433,56.8625,-0.7688,-0.0754,0.6934,27.2946,32.4305,0.0,60.0,27.7,28.72,27.52,28.52,511155.0,-1
39.6609,57.169,52.5567,-0.9421,-0.189,0.7531,27.1196,20.1674,0.0,70.0,28.36,28.58,26.59,27.59,530423.0,1
56.4625,72.3585,56.3682,-1.1304,-0.2366,0.8938,27.0524,57.3178,10.0,80.0,29.5,29.88,27.61,28.29,514858.0,-1
75.3837,84.9535,61.7202,-1.3539,-0.3652,0.9887,26.8756,77.2077,20.0,90.0,28.79,29.42,28.24,29.22,550529.0,-1
85.2294,91.6536,60.6722,-1.6011,-0.6186,0.9824,26.5407,97.9436,30.0,100.0,29.47,31.13,27.41,28.93,1018133.0,-1
94.2475,94.3279,63.1398,-1.8467,-0.9036,0.943,26.1993,133.1478,40.0,100.0,28.23,30.4613,28.0,29.39,545112.0,1
95.4839,86.4045,59.849,-2.0824,-1.3011,0.7813,25.7435,123.278,50.0,100.0,27.39,28.69,27.0211,28.36,513752.0,1
93.2523,70.8906,58.4889,-2.2778,-1.6846,0.5931,25.3697,109.2921,60.0,100.0,26.64,27.979,25.5,27.94,490227.0,1
70.4773,46.7672,54.5281,-2.426,-2.1069,0.3192,25.0025,60.952,70.0,0.0,23.8,27.34,23.15,26.74,978596.0,1
48.9424,26.907,43.0827,-2.5058,-2.493,0.0129,24.7543,-32.1124,80.0,10.0,22.58,24.37,21.79,23.93,1291060.0,1
20.8819,11.3104,34.8349,-2.509,-2.6634,-0.1544,24.8721,-84.6319,90.0,20.0,22.08,22.77,21.17,22.36,648068.0,1
10.8968,9.5964,33.5093,-2.4705,-2.6824,-0.2119,25.231,-124.5483,100.0,30.0,20.5,22.67,20.4,22.12,508417.0,1
2.1526,16.0472,26.0018,-2.4175,-2.6431,-0.2256,25.6754,-172.7717,100.0,40.0,22.52,23.8289,20.46,20.79,1527847.0,-1
15.7398,32.5649,29.9359,-2.3611,-2.4191,-0.058,26.3733,-178.6809,100.0,50.0,23.74,24.11,22.45,22.51,746537.0,-1
30.2492,45.741,33.3116,-2.3466,-2.2732,0.0734,26.9252,-101.4804,50.0,60.0,26.62,26.69,23.76,23.79,535948.0,-1
51.7056,55.0407,40.35,-2.3649,-2.1841,0.1808,27.3731,-16.6189,60.0,70.0,26.32,26.83,25.3532,25.99,546050.0,-1
55.268,50.8038,40.0911,-2.4101,-2.2627,0.1474,27.5707,-17.4619,70.0,0.0,27.16,27.4286,25.376,25.94,450925.0,-1
58.1486,43.1593,44.7013,-2.447,-2.3251,0.1219,27.8036,-7.2627,80.0,0.0,26.66,27.4,25.36,27.26,1009034.0,-1
38.9947,29.4268,42.1143,-2.4774,-2.5052,-0.0278,27.8813,-2.8739,90.0,0.0,26.35,29.5599,25.105,26.69,943679.0,1
