SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
31.175,54.3565,57.6441,129.0671,12.5768,0.0,70.0,150.83,152.8,133.85,137.97,3012650.0,-1
56.8155,75.504,65.2716,127.7952,36.5001,0.0,80.0,138.54,153.155,131.84,150.59,3280425.0,-1
75.079,88.8485,60.77,124.5388,67.0771,0.0,90.0,175.11,175.87,137.8317,138.43,3762356.0,-1
94.6175,95.544,90.7564,122.5544,158.7905,10.0,100.0,163.72,179.647,161.98,172.87,1457358.0,-1
96.8489,93.581,90.1425,115.3664,185.0003,0.0,100.0,145.8,168.39,145.8,168.04,3450976.0,1
95.1657,89.404,86.1961,107.8416,146.7322,0.0,100.0,127.19,146.88,127.19,144.94,2316438.0,1
88.7284,84.8368,81.4474,102.5419,109.1854,0.0,100.0,122.56,129.91,115.15,128.53,1922451.0,1
84.318,84.2826,79.03,98.8293,114.5664,0.0,100.0,115.27,124.36,113.57,122.42,1130878.0,1
81.4641,83.8936,75.1981,95.4592,121.1431,0.0,90.0,118.15,120.0,110.205,114.37,1389316.0,1
87.0658,82.6605,79.8472,92.7576,183.3599,10.0,100.0,115.7,123.35,111.08,117.22,2035557.0,-1
83.1509,79.4298,77.2737,89.263,153.0216,20.0,100.0,100.01,115.8733,91.17,111.42,3743420.0,1
77.7647,78.1803,70.9982,86.0977,129.7761,30.0,100.0,92.26,102.145,90.03,100.5,4622898.0,1
77.3739,77.1782,65.0865,84.0402,89.5602,40.0,90.0,92.56,94.61,86.8481,93.06,1302862.0,1
79.4024,72.3584,64.1223,82.7517,137.0109,50.0,100.0,94.45,99.25,87.2726,91.97,1717646.0,-1
74.7582,58.8603,67.9662,81.4348,165.5565,60.0,100.0,84.54,96.58,84.54,94.45,1768501.0,1
62.9145,42.2937,59.0027,79.5754,49.3636,70.0,40.0,82.9,87.75,81.045,84.4,1513056.0,1
38.9081,30.9416,56.4607,78.8862,-2.0466,80.0,50.0,81.5,85.825,77.56,82.07,1528967.0,1
25.0586,35.7257,57.5636,78.4314,-26.304,90.0,0.0,75.28,84.8,75.28,82.87,2506420.0,1
28.8581,50.9198,47.0427,77.7973,-151.1424,0.0,10.0,73.7,79.25,72.83,73.83,1536981.0,1
53.2602,63.9008,49.4599,78.3641,-119.0742,10.0,20.0,85.59,87.466,73.32,75.81,1930579.0,-1
70.6412,63.2915,64.2965,78.7289,47.9939,0.0,30.0,88.69,89.42,80.87,85.69,1251301.0,-1
67.8011,52.5908,67.7589,77.7345,105.038,10.0,40.0,84.9,90.92,84.86,87.56,1299054.0,1
51.4322,44.908,65.5728,76.3309,66.2216,0.0,50.0,84.75,86.98,81.87,85.11,1370718.0,1
38.5391,48.1119,65.3398,75.0767,63.7734,10.0,60.0,78.56,87.81,78.375,84.84,1581077.0,1
44.7527,63.6194,59.187,73.6819,21.7622,20.0,70.0,77.37,84.5,75.12,78.16,1992054.0,1
61.044,77.2182,58.8027,73.0422,53.8081,0.0,80.0,86.88,90.19,76.14,77.77,1597914.0,-1
85.0614,87.7752,71.381,72.3668,105.8874,0.0,90.0,87.17,87.8,79.91,85.88,2265600.0,-1
85.549,84.0809,72.0307,70.4364,183.2665,0.0,100.0,87.06,91.77,85.84,86.26,2130800.0,-1
92.7151,78.9731,71.8974,68.1759,163.7463,10.0,100.0,77.17,86.11,72.43,86.04,3573100.0,1
73.9784,67.0439,65.5426,65.6238,130.9932,0.0,100.0,77.87,79.67,73.071,76.58,3395819.0,1
70.2257,66.3558,67.9397,64.0587,105.4966,0.0,100.0,66.89,78.22,66.14,78.22,3311701.0,1
56.9276,70.5491,59.7277,62.0356,56.7732,0.0,70.0,70.3,73.77,66.22,68.06,1815910.0,1
