SlowD,SlowK,RSI,MACD_Signal,MACD_Hist,MACD,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
40.6059,25.8654,31.2809,-0.2428,-0.0846,-0.3274,2.8825,-161.652,100.0,0.0,2.34,2.45,2.15,2.3,10666063.0,1
49.6534,41.6005,33.0614,-0.2217,-0.0825,-0.3042,2.9658,-101.5729,40.0,10.0,2.65,2.68,2.35,2.41,5724847.0,-1
49.6024,54.3519,38.224,-0.2011,-0.0802,-0.2812,3.0451,-52.9743,50.0,20.0,2.73,2.75,2.59,2.7,3636184.0,-1
42.8115,53.0078,38.7879,-0.181,-0.0964,-0.2774,3.0945,-72.8944,60.0,0.0,2.64,2.7628,2.46,2.73,4476441.0,1
33.7676,41.4475,37.6847,-0.1569,-0.1146,-0.2716,3.1465,-61.2956,70.0,10.0,2.87,2.98,2.55,2.69,6318710.0,-1
27.9263,33.9793,39.9529,-0.1283,-0.1278,-0.2561,3.2117,-71.6884,80.0,0.0,2.68,2.88,2.52,2.83,4989491.0,1
27.8019,25.8759,35.9902,-0.0963,-0.1505,-0.2468,3.2663,-104.717,90.0,10.0,2.51,2.81,2.42,2.67,4928251.0,1
30.3119,23.9237,34.2826,-0.0587,-0.1564,-0.2151,3.3514,-137.2428,100.0,20.0,2.79,2.9,2.26,2.6,9259011.0,-1
33.193,33.606,37.3579,-0.0196,-0.1449,-0.1644,3.4588,-102.1893,70.0,0.0,2.96,3.16,2.8101,2.84,4556384.0,-1
29.2998,33.4061,39.2042,0.0167,-0.1384,-0.1218,3.5472,-83.513,80.0,0.0,3.49,3.5,2.93,2.98,5876632.0,-1
26.713,32.5667,45.2411,0.0513,-0.131,-0.0798,3.6282,-68.9633,90.0,10.0,2.97,3.6,2.95,3.4,11612686.0,1
24.8229,21.9267,35.6922,0.084,-0.1518,-0.0678,3.6608,-150.7265,100.0,20.0,3.24,3.24,2.6299,2.95,6894893.0,1
25.8553,25.6457,37.6625,0.122,-0.1277,-0.0057,3.7624,-134.7458,100.0,30.0,3.56,3.57,2.8,3.1,14202002.0,-1
22.4492,26.8963,43.9172,0.1539,-0.0955,0.0583,3.857,-66.3981,70.0,40.0,3.86,4.045,3.53,3.53,9415306.0,-1
16.8123,25.024,49.0299,0.1778,-0.0823,0.0955,3.9037,-52.6231,80.0,50.0,3.78,3.959,3.62,3.83,5821671.0,-1
20.1152,15.4273,47.5649,0.1983,-0.0874,0.1109,3.9143,-49.9691,90.0,60.0,3.6,4.15,3.4,3.75,13652905.0,1
34.1787,9.9856,45.0785,0.2202,-0.083,0.1372,3.9377,-82.144,100.0,70.0,3.65,3.88,3.35,3.61,7180449.0,1
57.3273,34.9326,42.8123,0.2409,-0.058,0.183,3.9845,-104.725,30.0,80.0,3.87,3.94,3.43,3.48,11414174.0,-1
71.7835,57.6178,48.0256,0.2554,-0.0034,0.252,4.0566,8.8487,40.0,90.0,4.78,4.84,3.75,3.86,9246970.0,-1
79.1848,79.4315,65.1149,0.2563,0.0414,0.2977,4.0847,134.6718,50.0,100.0,4.58,4.89,4.45,4.77,9907278.0,-1
71.5503,78.3012,58.8945,0.2459,0.0132,0.2591,3.9868,75.3046,60.0,90.0,4.36,4.44,4.05,4.34,9865853.0,1
58.3992,79.8218,60.0144,0.2426,0.0072,0.2498,3.9363,139.1363,70.0,0.0,4.5,4.735,4.335,4.39,9497895.0,-1
