SlowK,SlowD,RSI,MACD,MACD_Hist,MACD_Signal,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
44.355,28.6851,40.6536,-10.2449,-3.0318,-7.2131,76.82,-49.2819,70.0,20.0,59.6,70.26,59.22,68.8,955933.0,1
22.6153,17.5225,30.4377,-10.3483,-3.8931,-6.4552,78.2311,-90.8281,80.0,0.0,64.74,65.2,54.75,57.19,1297814.0,1
19.085,13.3638,33.4603,-9.1796,-3.6977,-5.4819,81.4576,-102.7742,90.0,10.0,54.57,71.51,51.86,65.09,1751790.0,1
10.8672,9.0472,23.1518,-8.2251,-3.6676,-4.5575,84.2041,-159.214,100.0,20.0,64.0,66.42,49.03,54.75,2506594.0,1
10.1392,10.2784,28.4262,-5.8805,-2.2399,-3.6406,88.7553,-172.0288,100.0,30.0,75.2,76.86,61.99,68.51,1750292.0,-1
6.1351,13.1615,33.9687,-4.1419,-1.0613,-3.0806,92.0772,-171.8446,100.0,40.0,83.41,85.77,77.02,79.46,1450028.0,-1
14.561,17.6169,36.0791,-2.9286,-0.1133,-2.8153,94.378,-182.1963,100.0,50.0,92.81,98.15,81.0,83.11,3031697.0,-1
18.7884,16.1787,44.9393,-1.6926,1.0944,-2.787,96.509,-89.9131,0.0,60.0,103.48,105.17,95.4,95.98,986586.0,-1
19.5012,21.2084,51.7873,-1.3434,1.7172,-3.0606,97.1866,-8.7439,0.0,70.0,100.02,107.36,100.01,103.68,791663.0,-1
10.2465,35.1565,48.9793,-1.6276,1.8623,-3.4899,96.9093,-18.5508,0.0,80.0,97.59,104.85,97.2,100.59,1140571.0,1
33.8775,61.8076,45.3051,-1.666,2.2895,-3.9555,97.0144,-18.1741,0.0,90.0,101.17,105.01,95.53,96.63,1267141.0,1
61.3456,80.8276,51.0445,-1.3052,3.2227,-4.5278,97.6754,56.6663,0.0,100.0,115.53,119.99,102.53,103.5,1628623.0,-1
90.1997,91.2998,63.8439,-1.4944,3.8391,-5.3335,97.4925,98.3457,0.0,100.0,109.44,117.89,108.8,115.58,1194196.0,-1
90.9376,91.0337,59.2709,-2.8903,3.403,-6.2933,95.6335,104.1302,10.0,90.0,109.58,112.95,108.72,109.57,1053349.0,1
92.7621,85.7759,60.5321,-4.0447,3.0993,-7.144,94.3298,106.9515,20.0,100.0,108.91,113.0,107.0,110.67,939291.0,-1
89.4013,74.6947,58.856,-5.5665,2.3524,-7.9189,92.6896,97.5068,30.0,30.0,105.44,110.0,105.0,108.33,807332.0,1
75.1643,59.6438,55.6589,-7.2001,1.3069,-8.507,91.1347,60.1476,40.0,40.0,91.43,107.27,91.4,105.0,3018951.0,1
59.5184,46.1977,42.4725,-8.7506,0.0831,-8.8337,89.9607,-16.484,50.0,50.0,91.14,93.91,87.72,90.38,1162946.0,1
44.2487,34.7717,42.6208,-9.1939,-0.3394,-8.8545,90.5952,-33.1198,60.0,60.0,87.92,92.92,84.31,90.57,1650605.0,1
34.826,33.2063,39.9812,-9.6442,-0.8747,-8.7696,91.2946,-56.8595,70.0,70.0,83.96,89.52,83.96,87.91,995611.0,1
25.2405,42.8334,35.6331,-9.8225,-1.2716,-8.5509,92.4536,-102.0377,80.0,80.0,78.32,88.76,77.5,83.57,2608447.0,1
39.5523,58.0796,28.8805,-9.489,-1.256,-8.233,94.3647,-196.7316,90.0,90.0,74.26,82.5,74.26,77.25,4044250.0,1
63.7073,61.226,25.6714,-8.3165,-0.3975,-7.919,97.4032,-259.0806,100.0,100.0,110.36,113.62,66.5,74.36,5656674.0,-1
70.9792,50.7453,50.3914,-6.4205,1.3991,-7.8197,101.2663,155.3347,70.0,100.0,109.0,113.0,105.74,109.27,1395397.0,-1
48.9915,37.2371,50.0066,-7.2705,0.8989,-8.1694,100.9625,139.4134,80.0,60.0,101.24,109.64,100.98,108.96,1226891.0,1
32.2653,39.6078,38.5845,-8.2197,0.1744,-8.3942,100.6571,-54.645,90.0,70.0,96.96,104.35,96.11,100.7,1376657.0,1
30.4546,50.844,32.3908,-8.516,-0.0782,-8.4378,101.4246,-127.2857,100.0,0.0,102.74,104.78,95.1,97.02,911761.0,-1
56.1036,63.3929,37.8087,-8.4157,0.0026,-8.4182,102.7993,-22.871,20.0,10.0,101.19,105.94,97.23,102.83,1071800.0,-1
65.9737,59.2235,34.7308,-8.725,-0.3061,-8.4189,103.5849,-19.0097,30.0,20.0,108.0,110.47,98.07,101.01,1601054.0,-1
68.1014,45.6218,40.9142,-8.8176,-0.4752,-8.3423,104.7288,24.0885,40.0,0.0,105.24,109.14,103.58,107.99,1579287.0,-1
43.5955,29.5693,37.8068,-9.4024,-1.1788,-8.2235,105.2014,-23.5545,50.0,0.0,100.85,109.11,98.55,106.05,1678243.0,1
25.1686,23.1469,28.7299,-9.8265,-1.8977,-7.9288,106.0018,-70.2661,60.0,10.0,99.23,104.39,98.39,100.83,1165818.0,1
19.944,20.9123,27.1348,-9.7258,-2.2714,-7.4544,107.6169,-81.9433,70.0,0.0,101.46,106.05,97.47,99.96,1592148.0,-1
24.3281,20.8931,27.5171,-9.3726,-2.4861,-6.8866,109.5794,-89.1106,80.0,0.0,103.58,107.63,98.98,100.56,1564387.0,-1
18.4649,17.8817,28.0687,-8.8429,-2.5778,-6.265,111.7417,-107.3053,90.0,10.0,104.16,104.82,97.01,101.49,1464088.0,-1
19.8863,17.4642,29.8278,-8.127,-2.5064,-5.6206,114.0883,-120.5754,100.0,20.0,101.63,106.38,96.4,104.53,1997138.0,-1
15.2938,14.3907,28.0386,-7.3858,-2.3918,-4.994,116.3621,-119.5611,100.0,0.0,114.64,117.81,102.68,103.19,2902506.0,-1
17.2125,13.0976,34.8327,-6.2041,-1.8081,-4.396,119.1406,-104.4966,90.0,10.0,114.46,117.05,111.08,114.58,1304286.0,-1
10.6659,10.673,33.7675,-5.6949,-1.7508,-3.944,120.7878,-149.6037,100.0,0.0,113.05,116.06,108.42,113.74,1426429.0,1
11.4145,14.7989,32.9811,-4.8817,-1.3754,-3.5063,122.7831,-171.3615,100.0,0.0,122.06,123.7,110.68,113.07,1300810.0,-1
9.9387,20.7703,38.747,-3.7087,-0.5463,-3.1625,125.1533,-119.5599,100.0,10.0,129.82,130.39,120.59,122.4,826562.0,-1
23.0434,27.4559,43.0282,-3.0498,-0.0239,-3.0259,126.6103,-111.7948,100.0,20.0,127.5,130.99,125.5,128.3,1104398.0,-1
29.3289,25.4476,40.7158,-2.7286,0.2913,-3.0199,127.4839,-113.5192,100.0,30.0,137.33,142.49,126.0,126.72,1106992.0,-1
29.9953,20.1783,48.8128,-2.0576,1.0351,-3.0928,128.7928,-36.0709,90.0,40.0,136.68,142.97,136.0201,137.29,816231.0,-1
17.0186,17.5392,48.5252,-2.1762,1.1753,-3.3515,128.8787,-80.3333,0.0,50.0,129.06,137.74,126.86,136.96,1051746.0,1
13.521,26.4054,41.3222,-2.2646,1.3808,-3.6454,129.0209,-81.9803,0.0,60.0,138.59,140.75,127.29,128.95,730329.0,-1
22.0779,43.8184,48.5602,-1.5828,2.4077,-3.9906,130.2519,19.6158,10.0,70.0,141.69,148.72,137.88,138.43,837153.0,-1
43.6174,65.3248,51.9371,-1.591,3.0015,-4.5925,130.3942,28.7551,20.0,80.0,137.64,147.28,136.41,142.34,1064291.0,1
65.7598,80.3716,50.9718,-1.9499,3.393,-5.3429,130.0353,57.992,0.0,90.0,146.99,154.08,137.58,141.11,1368140.0,-1
86.5971,86.4017,59.3947,-2.2628,3.9283,-6.1911,129.7892,130.4269,10.0,100.0,155.4,159.41,140.41,150.76,2479374.0,-1
88.758,77.8984,63.6522,-3.5466,3.6266,-7.1732,128.2207,215.6229,20.0,100.0,144.76,157.37,144.52,155.1,1314630.0,1
83.85,61.1837,56.2908,-5.5463,2.5336,-8.0799,125.8493,200.0137,30.0,100.0,136.68,145.27,136.15,143.77,994810.0,1
61.0871,44.4071,50.4926,-6.9408,1.7725,-8.7133,124.6504,172.0487,0.0,40.0,133.26,139.96,132.95,136.49,1060603.0,1
38.614,36.8883,47.8319,-7.9276,1.2288,-9.1564,124.2512,72.6884,0.0,50.0,128.27,134.97,126.89,133.38,1037451.0,1
33.52,38.487,42.63,-8.7761,0.6875,-9.4636,124.2099,-1.3206,0.0,60.0,125.83,133.26,125.49,127.55,969368.0,1
38.5308,41.6431,40.1973,-9.1772,0.4582,-9.6355,124.9403,11.5406,0.0,70.0,136.17,137.05,123.43,125.64,937442.0,-1
43.4101,48.4875,47.4691,-9.3045,0.4455,-9.75,126.1276,104.1429,10.0,80.0,131.56,137.1341,131.2,136.31,1008970.0,-1
42.9884,60.5567,43.2802,-10.3401,-0.4787,-9.8614,126.0696,65.5305,20.0,90.0,127.73,134.46,125.85,131.47,1219809.0,1
59.0639,73.5654,38.8654,-11.054,-1.3122,-9.7417,126.6451,88.0899,30.0,100.0,130.0,144.11,123.01,126.6,2513371.0,1
79.6179,78.9139,40.3092,-11.3441,-1.9304,-9.4137,127.9486,79.2669,40.0,0.0,132.48,132.9,125.51,129.09,879816.0,-1
82.0144,74.2216,42.4343,-11.7847,-2.8537,-8.9311,129.1082,106.8278,50.0,0.0,129.36,136.02,128.25,132.82,1161282.0,-1
75.1094,62.7953,39.7358,-12.5283,-4.3106,-8.2177,129.9387,28.3929,60.0,10.0,124.6,131.77,124.6,129.3,1196311.0,1
