SlowD,SlowK,RSI,MACD_Signal,MACD,MACD_Hist,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
48.0337,70.6917,45.6154,-1.216,-2.0151,-0.7991,54.5546,-27.1481,70.0,40.0,52.36,53.42,49.81,53.13,7356355.0,1
31.4088,48.8171,45.9623,-1.0162,-2.0859,-1.0697,54.7693,-28.6749,80.0,50.0,50.92,53.9,50.8,53.33,5881203.0,1
20.1774,24.5923,39.0342,-0.7488,-2.1662,-1.4174,54.9861,-64.8454,90.0,60.0,50.4,51.52,48.26,50.01,6662518.0,1
21.7499,20.8171,31.7255,-0.3945,-1.8997,-1.5052,55.7075,-141.3748,100.0,70.0,41.0,48.55,39.37,46.93,13028437.0,1
32.0337,15.1229,20.6646,-0.0182,-1.2188,-1.2006,56.9713,-234.1165,100.0,80.0,43.83,49.69,42.07,42.95,11035817.0,1
53.8679,29.3097,32.9356,0.282,0.0727,-0.2093,58.9834,-234.3369,100.0,90.0,55.79,57.63,47.97,53.12,11922731.0,-1
74.1376,51.6684,48.7002,0.3343,0.6861,0.3518,59.8322,25.802,10.0,100.0,62.06,65.37,58.45,59.28,7996306.0,-1
81.2481,80.6256,56.7115,0.2464,0.8328,0.5864,59.9236,50.7967,20.0,100.0,60.86,64.45,58.58,61.3,8809347.0,-1
77.2074,90.119,67.2613,0.0998,0.8025,0.7027,59.7399,122.6395,0.0,100.0,62.92,63.6,62.81,63.44,2219105.0,-1
72.5248,72.9998,65.4788,-0.0759,0.5346,0.6105,59.2247,110.9231,10.0,100.0,61.08,62.84,61.03,62.78,2799484.0,1
78.7081,68.5035,60.7258,-0.2286,0.252,0.4805,58.73,86.3124,20.0,80.0,58.98,61.77,58.94,61.15,2958282.0,1
87.5212,76.071,52.7952,-0.3487,0.0533,0.402,58.3971,77.5765,30.0,90.0,60.87,61.24,58.79,58.94,3972439.0,1
93.6758,91.5498,67.3645,-0.4492,0.0236,0.4728,58.332,201.1056,40.0,100.0,60.94,62.53,60.87,61.57,3926966.0,-1
89.709,94.9427,67.0534,-0.5674,-0.282,0.2854,57.8824,192.2064,50.0,100.0,57.62,61.61,57.55,61.47,6378822.0,1
76.3596,94.5348,49.9027,-0.6387,-0.6577,-0.019,57.3828,31.3767,60.0,30.0,57.32,57.72,57.05,57.48,3843050.0,1
54.5618,79.6495,49.3676,-0.634,-0.7221,-0.0882,57.381,-12.4492,70.0,40.0,57.07,57.46,55.965,57.39,3536169.0,1
33.4208,54.8945,49.4733,-0.6119,-0.7847,-0.1727,57.3918,2.1237,80.0,50.0,57.25,57.51,56.96,57.41,2678626.0,-1
19.7332,29.1414,47.3957,-0.5688,-0.8551,-0.2864,57.4013,-31.9679,90.0,60.0,56.35,57.318,56.1,57.0,4730068.0,1
21.3653,16.2264,41.0056,-0.4972,-0.8909,-0.3938,57.4706,-95.1616,100.0,70.0,55.43,56.34,54.81,55.8,6633066.0,1
32.8991,13.8318,40.7899,-0.3987,-0.8017,-0.403,57.721,-131.4154,100.0,0.0,55.28,56.05,54.89,55.76,8657173.0,1
