SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
18.8969,21.7102,26.3175,3.0084,34.8652,40.0,60.0,2.05,2.5399,2.0,2.17,619684.0,1
20.8017,25.2878,23.9512,3.1281,-51.6481,50.0,70.0,2.05,2.19,1.95,2.05,428090.0,1
25.4321,27.804,22.0743,3.2822,-67.9723,60.0,80.0,2.18,2.3199,1.9,1.95,564814.0,-1
29.6296,27.7712,23.2627,3.4725,-7.5047,70.0,0.0,2.16,2.48,2.1,2.18,712402.0,-1
28.3502,24.4516,23.2627,3.6571,6.8681,80.0,0.0,1.99,3.11,1.85,2.18,8094011.0,1
25.3338,19.0361,19.9224,3.8681,-103.6979,90.0,0.0,1.97,2.07,1.8295,1.96,291981.0,1
19.6707,13.2557,19.958,4.1407,-100.6126,100.0,0.0,1.99,2.18,1.76,1.97,838352.0,-1
12.1036,9.4393,20.35,4.4508,-84.6207,100.0,0.0,2.22,2.26,1.94,2.09,387844.0,-1
7.9929,8.168,20.7474,4.7881,-76.5317,100.0,0.0,2.4,2.44,2.16,2.22,542232.0,-1
8.2215,7.7908,21.0606,5.1549,-72.5236,80.0,10.0,2.44,2.51,2.26,2.33,658081.0,-1
8.2897,6.5034,21.324,5.5585,-76.3249,90.0,20.0,2.5,2.53,2.35,2.43,335078.0,-1
6.8612,4.9339,21.3721,6.0054,-85.6824,100.0,0.0,2.51,2.6199,2.25,2.45,1744871.0,-1
4.3592,3.5403,21.5031,6.5133,-92.7415,100.0,0.0,2.75,2.78,2.35,2.51,1234483.0,-1
3.5813,3.3116,21.9882,7.0852,-90.8368,100.0,10.0,2.92,4.0,2.56,2.75,13781073.0,-1
2.6805,4.1532,22.3859,7.7045,-107.5894,100.0,20.0,3.25,4.1,2.75,2.96,4585122.0,-1
3.673,5.0214,23.0102,8.3823,-126.2713,100.0,30.0,4.03,4.1799,3.14,3.31,3200565.0,-1
6.1059,5.4125,24.3367,9.1069,-131.4677,100.0,40.0,5.3,5.6999,3.9,4.07,2180172.0,-1
5.2852,6.3266,26.7468,9.8265,-139.0273,90.0,50.0,5.9,6.05,5.0,5.39,2782975.0,-1
4.8464,9.8259,27.8369,10.4603,-104.3478,100.0,60.0,5.31,10.1,4.8875,5.97,18562212.0,1
8.8483,15.3725,24.6934,11.1018,-149.0495,100.0,70.0,0.155,8.1715,0.1335,5.31,16154422.0,1
15.7831,17.6016,29.5462,11.9292,-111.1485,60.0,80.0,0.198,0.2,0.158,0.1615,5230091.0,1
21.486,16.0411,32.521,12.4798,-32.4597,70.0,90.0,0.19,0.27,0.1801,0.1901,12543864.0,-1
15.5357,10.624,32.285,12.9047,2.1997,80.0,100.0,0.1966,0.32,0.178,0.189,33716168.0,-1
11.1017,16.2271,31.955,13.3983,-139.7729,90.0,60.0,0.165,0.19,0.1575,0.1873,1983046.0,1
5.2346,25.1102,26.7812,13.9744,-209.009,100.0,70.0,0.215,0.215,0.154,0.16,2755390.0,-1
32.345,37.635,30.5332,14.8279,-176.4885,90.0,0.0,0.21,0.2239,0.206,0.209,2092048.0,-1
37.7509,34.8279,29.8054,15.4531,-123.1662,100.0,10.0,0.29,0.29,0.2007,0.205,8216654.0,-1
42.8091,29.7151,37.7512,16.1964,120.9796,90.0,0.0,0.24,0.308,0.222,0.295,4477542.0,-1
23.9238,26.7773,25.8983,16.403,-114.406,100.0,0.0,0.239,0.2499,0.22,0.235,1355335.0,1
22.4125,30.5249,25.2579,17.0677,-69.3938,80.0,0.0,0.26,0.2825,0.2295,0.232,2328035.0,-1
33.9954,37.6135,25.7929,17.8488,-71.5192,90.0,0.0,0.232,0.28,0.23,0.24,1781132.0,1
35.1668,39.6086,25.3482,18.6843,-86.3164,100.0,10.0,0.27,0.28,0.22,0.2375,993554.0,-1
43.6781,39.4664,27.165,19.6571,-54.7345,60.0,0.0,0.2625,0.28,0.238,0.2685,1743907.0,-1
39.9809,36.1471,24.2489,20.5474,-81.784,70.0,0.0,0.278,0.2799,0.23,0.25,513582.0,1
34.7403,32.8995,24.9787,21.697,-73.4879,80.0,0.0,0.29,0.29,0.24,0.265,838787.0,-1
33.7201,32.1204,25.6741,22.9038,-72.3156,90.0,10.0,0.25,0.3099,0.23,0.28,2890647.0,1
30.2383,30.1924,21.3378,24.1757,-129.136,100.0,20.0,0.23,0.269,0.22,0.247,1570907.0,1
32.4028,28.9326,22.8737,25.8651,-98.6637,90.0,0.0,0.29,0.3135,0.27,0.2892,1272231.0,-1
27.9361,26.9173,21.1674,27.4944,-119.2865,100.0,0.0,0.29,0.32,0.22,0.2751,2120888.0,1
26.4588,23.8723,21.6849,29.4572,-79.8788,100.0,0.0,0.36,0.36,0.26,0.292,1576258.0,-1
26.357,18.3742,23.4893,31.5796,-57.8,80.0,10.0,0.36,0.385,0.3202,0.351,1491737.0,-1
18.8011,11.4266,23.3921,33.5839,-65.8211,90.0,20.0,0.34,0.375,0.32,0.35,1870935.0,1
9.9646,6.4841,22.5326,35.8816,-75.6296,100.0,0.0,0.3769,0.39,0.3,0.3403,990524.0,-1
5.514,4.7038,23.1767,38.5768,-84.2653,100.0,10.0,0.3982,0.4,0.335,0.367,2253097.0,-1
3.9735,5.1914,23.7021,41.4663,-94.516,100.0,0.0,0.465,0.4787,0.38,0.39,6492672.0,-1
4.6237,7.9054,25.1191,44.6044,-122.4505,100.0,10.0,0.393,0.47,0.38,0.4536,9907637.0,1
6.9769,11.472,20.861,47.7364,-191.0366,100.0,20.0,0.46,0.46,0.38,0.39,7108512.0,-1
12.1158,14.1099,21.8454,51.7702,-237.4881,100.0,30.0,0.82,0.88,0.42,0.446,5828162.0,-1
15.3232,15.687,31.8434,55.9802,-104.8472,20.0,40.0,1.02,1.06,0.7901,0.86,838210.0,-1
14.8908,17.1378,36.7842,57.8345,-30.6027,30.0,0.0,0.98,1.18,0.963,0.995,1768809.0,-1
16.847,21.2509,35.7879,58.9895,-48.9015,40.0,10.0,0.98,1.13,0.97,0.98,1043145.0,1
19.6756,23.1166,36.1295,60.4165,-68.1359,50.0,0.0,1.04,1.06,0.95,0.99,449734.0,-1
